"term","c","cDis"
"obviously",5126,5126
"particularly",5126,5126
"broke",5113,5113
"heading",5113,5113
"income",5110,5110
"scored",5107,5107
"shoot",5104,5104
"married",5103,5103
"corner",5099,5099
"names",5099,5099
"adding",5097,5097
"studio",5097,5097
"impact",5094,5094
"exciting",5093,5093
"screen",5093,5093
"app",5092,5092
"fashion",5090,5090
"remain",5087,5087
"london",5085,5085
"drinking",5082,5082
"decide",5077,5077
"planned",5077,5077
"plant",5076,5076
"lets",5072,5072
"smart",5067,5067
"steve",5067,5067
"victory",5064,5064
"knowing",5061,5061
"arrived",5055,5055
"wake",5054,5054
"neighborhood",5049,5049
"leaves",5038,5038
"thomas",5031,5031
"offers",5030,5030
"classic",5025,5025
"pizza",5023,5023
"advice",5018,5018
"skin",5018,5018
"audience",5016,5016
"surprise",5014,5014
"taxes",5014,5014
"j",5010,5010
"seat",5003,5003
"f",4996,4996
"pull",4993,4993
"talked",4993,4993
"failed",4991,4991
"plenty",4987,4987
"losing",4982,4982
"shots",4982,4982
"avoid",4973,4973
"camera",4965,4965
"organization",4963,4963
"hits",4957,4957
"sauce",4955,4955
"professional",4954,4954
"classes",4952,4952
"salt",4950,4950
"dogs",4949,4949
"physical",4942,4942
"pressure",4934,4934
"investigation",4929,4929
"dollars",4928,4928
"laugh",4925,4925
"pre",4915,4915
"february",4913,4913
"butter",4907,4907
"charged",4906,4906
"doctor",4897,4897
"hang",4895,4895
"battle",4891,4891
"benefit",4891,4891
"scott",4885,4885
"tells",4880,4880
"pink",4873,4873
"excellent",4870,4870
"shut",4869,4869
"window",4869,4869
"bet",4864,4864
